Aéroport Caen-Carpiquet,ZZZZ,"49.1775695948,-0.4562777999",9999
London Heathrow Airport,EGLL,"51.4695255948,-0.4528462999",9999
Bedford Aerodrome,ZZZZ,"52.2336743948,-0.4414919999",9999
Jonzac Neulles Airport,LFCJ,"45.4841994950,-0.4213889999",9999
Soucelles Airport,ZZZZ,"47.5803985949,-0.4122689999",9999
Aérodrome de Niort,ZZZZ,"46.3152233950,-0.3994944999",9999
Peterborough/Sibson Airport,EGSP,"52.5558013948,-0.3863889999",9999
Luton,EGGW,"51.8747250948,-0.3683349999",9999
Little Staughton Airfield,ZZZZ,"52.2427569948,-0.3633023999",9999
Humberside,EGNJ,"53.5823185947,-0.3511871000",9999
Wickenby Aerodrome,EGNW,"53.3166999947,-0.3497220000",9999
Elstree Airfield,EGTR,"51.6558069948,-0.3258383000",9999
Elstree Airfield,EGTR,"51.6557998948,-0.3258330000",9999
Aeropuerto Huesca-Pirineos,ZZZZ,"42.0811216952,-0.3238929000",9999
Angers-Loire Airport,LFJR,"47.5602988949,-0.3122220000",9999
RAF Henlow,EGWE,"52.0128910948,-0.3031376000",9999
Shoreham Airport,EGKA,"50.8358879948,-0.2952029000",9999
Castejón de los Monegros Airport,ZZZZ,"41.6129290952,-0.2472252000",9999
Peterborough Conington,ZZZZ,"52.4687179948,-0.2436107000",9999
RAF Alconbury,ZZZZ,"52.3745847948,-0.2291895000",9999
former RAF Binbrook,ZZZZ,"53.4469123947,-0.2093157000",9999
London Gatwick Airport,EGPC,"51.1491703948,-0.1896803000",9999
RAF Coningsby,EGXC,"53.0924670947,-0.1660703000",9999
Thouars Airport,LFCT,"46.9616988949,-0.1579538000",9999
Panshanger Aerodrome,ZZZZ,"51.8010999948,-0.1560000000",9999
Little Gransden Airfield,EGMJ,"52.1663455948,-0.1523476000",9999
Nene Valley Gliding Club,ZZZZ,"52.4321898948,-0.1474349000",9999
Redhill Aerodrome,EGKR,"51.2138740948,-0.1400136000",9999
Libourne-Artigues-de-Lussac Airport,LFDI,"44.9824981950,-0.1347220000",9999
Gransden Lodge Airfield (GRL),ZZZZ,"52.1869012948,-0.1104290000",9999
RAF Wyton,EGUY,"52.3566580948,-0.1081677000",9999
Kenley Aerodrome,ZZZZ,"51.3048045948,-0.0957741000",9999
Bourne Airfield,ZZZZ,"52.2161202948,-0.0425484000",9999
Nogaro Airport,LFCN,"43.7696990951,-0.0327780000",9999
Fenland Airfield,EGCL,"52.7392005947,-0.0297220000",9999
Hautacam Airport,ZZZZ,"42.9938888951,-0.0291670000",9999
Aéroport International de Tarbes-Lourdes-Pyrénées,ZZZZ,"43.1846599951,0.0003500000",9999
Artigues Airport,ZZZZ,"43.0769423951,0.0019440000",9999
Chalais Airport,LFIH,"45.2681961950,0.0193197000",9999
Coumely Airport,ZZZZ,"42.7625007952,0.0222220000",9999
Aero Club Castellón,ZZZZ,"39.9948987953,0.0250856000",9999
London Biggin Hill Airport,EGKB,"51.3285621948,0.0320973000",9999
Fowlmere Aerodrome,ZZZZ,"52.0824636948,0.0576981000",9999
Aeropuerto de Castellón - Costa Azahar,ZZZZ,"40.2047484953,0.0684239000",9999
Tarbes Laloubère Airport,LFDT,"43.2160987951,0.0786110000",9999
Loudun Airport,LFDL,"47.0372008949,0.1013890000",9999
Duxford,EGSU,"52.0938184948,0.1311651000",9999
Deanland Lewes Airport,ZZZZ,"50.8800906948,0.1530572000",9999
Stapleford Aerodrome,EGSG,"51.6569665948,0.1555589000",9999
Aeroport de Deauville Saint Gatien,ZZZZ,"49.3623297948,0.1602889000",9999
Strubby Airfield,EGCG,"53.3106002947,0.1719440000",9999
Cambridge City Airport,ZZZZ,"52.2100616948,0.1768779000",9999
Couhé Vérac Airport,LFDV,"46.2728003950,0.1905560000",9999
Marmande-Virazeil Airport,LFDM,"44.4989013951,0.2005140000",9999
Le Mans-Arnage Airport,ZZZZ,"47.9486007949,0.2016670000",9999
Damyns Hall Aerodrome,EGML,"51.5285987948,0.2455560000",9999
Ribérac St Aulaye Airport,ZZZZ,"45.2366252950,0.2631782000",9999
Quatre Veziaux Airport,ZZZZ,"42.8922233951,0.2997220000",9999
Poitiers - Biard Airport,LFBI,"46.5879765950,0.3087300000",9999
Skegness (Ingoldmells) Aerodrome,ZZZZ,"53.1716125947,0.3293411000",9999
Aérodrome du Havre - Saint-Romain-de-Colbosc,ZZZZ,"49.5437844948,0.3562276000",9999
Newmarket Heath Airfield,ZZZZ,"52.2419013948,0.3705559999",9999
Aeromodelisme de Chazelles,ZZZZ,"45.6467369950,0.3827835999",9999
Condom Valence Sur Baise Airport,LFID,"43.9103011951,0.3872219999",9999
Peyresourde Balestas Airport,ZZZZ,"42.7969016952,0.4355559999",9999
Andrewsfield Airfield,ZZZZ,"51.8950004948,0.4491669999",9999
Pene De Soulit Airport,ZZZZ,"42.7927779952,0.4624999999",9999
Benabarre Airport,ZZZZ,"42.0228003952,0.4822219999",9999
Ferrere Airport,ZZZZ,"42.8883323951,0.4988889999",9999
Honteyde Airport,ZZZZ,"42.8372230952,0.5022219999",9999
Rochester Airport,EGTO,"51.3512999948,0.5035999999",9999
Wethersfield Airfield,ZZZZ,"51.9719008948,0.5094439999",9999
Aéroport de Bergerac Roumanières,ZZZZ,"44.8229984950,0.5131485999",9999
Cap De Barres Airport,ZZZZ,"42.8630561952,0.5152779999",9999
Aérodrome de Mortagne-au-Perche,ZZZZ,"48.5391538949,0.5334438999",9999
Cap De Pouy Airport,ZZZZ,"42.7847213952,0.5449999999",9999
RAF Marham,EGYM,"52.6466220948,0.5521105999",9999
Lakenheath Air Base,ZZZZ,"52.4109037948,0.5579936999",9999
Aerodrome de Bernay-Saint-Martin,ZZZZ,"49.1054499948,0.5610093999",9999
Bagnères De Luchon Airport,LFCB,"42.7999991952,0.5999999999",9999
Farthing Corner/Stoneacre Farm Airport,ZZZZ,"51.3323685948,0.6001261999",9999
Aerodrome d'Auch-Lamothe,ZZZZ,"43.6881396951,0.6010246999",9999
Saint Gaudens Montrejeau Airport,LFIM,"43.1062579951,0.6177903999",9999
Stoke Airfield,ZZZZ,"51.4464815948,0.6353589999",9999
Lashenden (Headcorn) Airfield,EGKH,"51.1563480948,0.6419111999",9999
Chauvigny Airport,LFDW,"46.5835990950,0.6424999999",9999
Aeròdrom d'Alfés,ZZZZ,"41.5499855952,0.6517806999",9999
Aérodrome de Saint-Valery-Vittefleur,ZZZZ,"49.8386790948,0.6591181999",9999
Bacaneres Airport,ZZZZ,"42.8383330952,0.6644439999",9999
Earls Colne Airfield,EGSR,"51.9143981948,0.6824999999",9999
Southend,EGMC,"51.5732849948,0.6987403999",9999
Aérodrome de Tours-Sorigny,ZZZZ,"47.2675473949,0.7009305999",9999
Aérodrome de Tours-Le Louroux,ZZZZ,"47.1503463949,0.7109900999",9999
RAF West Raynham (disused),ZZZZ,"52.7866150947,0.7390633999",9999
RAF Honington,EGXH,"52.3420625948,0.7748313999",9999
Aéroport Périgueux-Bassillac,ZZZZ,"45.1963427950,0.8126082999",9999
Uls Airport,ZZZZ,"42.8519439952,0.8488889999",9999
Saint-Junien Airport,ZZZZ,"45.9033011950,0.9199999999",9999
Shipdham Airfield,EGSA,"52.6293982948,0.9280559999",9999
London Ashford Airport,ZZZZ,"50.9547098948,0.9361117999",9999
Belvès St Pardoux Airport,ZZZZ,"44.7825011950,0.9588889999",9999
Elmsett Airport,ZZZZ,"52.0772017948,0.9774999999",9999
Balesta Nature Airport,ZZZZ,"43.1555556951,0.9952779999",9999
Aérodrome de Fumel-Montayral,ZZZZ,"44.4626387951,1.0051868999",9999
Lympne (disused),ZZZZ,"51.0816369948,1.0192378999",9999
Old Buckenham Airport,EGSV,"52.4973210948,1.0534875999",9999
